layer,Cotas,Cota_MDERa,Dif_MDERaf
Puntos IGN,2,1.44832,-0.552
Puntos IGN,1.7,1.23689,-0.463
Puntos IGN,8.5,6.58852,-1.911
Puntos IGN,4.6,5.23529,0.635
Puntos IGN,2.7,1.68307,-1.017
Puntos IGN,2.1,1.96818,-0.132
Puntos IGN,2.5,2.0568,-0.443
Puntos IGN,2.8,2.15971,-0.64
Puntos IGN,2.3,1.7748,-0.525
Puntos IGN,2.3,1.84538,-0.455
Puntos IGN,2.9,1.91942,-0.981
Puntos IGN,2.3,1.78351,-0.516
Puntos IGN,2.9,1.88145,-1.019
Puntos IGN,3,1.85092,-1.149
Puntos IGN,1.7,1.82869,0.129
Puntos IGN,1.8,1.91806,0.118
Puntos IGN,1.9,1.55293,-0.347
Puntos IGN,2,1.696,-0.304
Puntos IGN,3.9,2.12284,-1.777
Puntos IGN,1.7,1.30598,-0.394
Puntos IGN,1.3,1.63545,0.335
Puntos IGN,1.5,1.6835,0.184
Puntos IGN,1.4,1.71745,0.317
Puntos IGN,2.1,1.53763,-0.562
Puntos IGN,1.3,1.48568,0.186
Puntos IGN,1.8,1.58202,-0.218
Puntos IGN,2.1,1.4905,-0.61
Puntos IGN,1.4,1.25722,-0.143
Puntos IGN,1.8,1.18756,-0.612
Puntos IGN,1.6,1.38437,-0.216
Puntos IGN,1.6,1.34557,-0.254
Puntos IGN,1.6,1.33757,-0.262
Puntos IGN,1.6,2.41407,0.814
Puntos IGN,1.8,2.09248,0.292
Puntos IGN,1.8,1.47385,-0.326
Puntos IGN,1.6,2.01484,0.415
Puntos IGN,2,2.95726,0.957
Puntos IGN,2.1,2.17208,0.072
Puntos IGN,3.1,2.87481,-0.225
Puntos IGN,3,2.67591,-0.324
Puntos IGN,1.5,2.30511,0.805
Puntos IGN,1.6,2.69589,1.096
Puntos IGN,2.7,2.90436,0.204
Puntos IGN,2,2.71736,0.717
Puntos IGN,1.7,2.09296,0.393
Puntos IGN,1.6,2.05179,0.452
Puntos IGN,1.9,2.63768,0.738
Puntos IGN,1.9,2.5226,0.623
Puntos IGN,1.6,2.74059,1.141
Puntos IGN,1.8,1.64363,-0.156
Puntos IGN,1.8,1.67177,-0.128
Puntos IGN,1.2,1.55285,0.353
Puntos IGN,2.6,1.77012,-0.83
Puntos IGN,2.6,1.71132,-0.889
Puntos IGN,2.2,2.06581,-0.134
Puntos IGN,1.6,1.86607,0.266
Puntos IGN,1.8,1.66296,-0.137
Puntos IGN,1.7,2.00964,0.31
Puntos IGN,2.1,1.59367,-0.506
Puntos IGN,1.9,1.93061,0.031
Puntos IGN,3.3,3.16437,-0.136
Puntos IGN,2.5,2.02753,-0.472
Puntos IGN,3.2,1.91792,-1.282
Puntos IGN,2.46,2.72543,0.265
Puntos IGN,2.6,1.75998,-0.84
Puntos IGN,2.3,2.02931,-0.271
Puntos IGN,2.4,2.86709,0.467
Puntos IGN,2.6,2.51217,-0.088
Puntos IGN,2.6,2.6424,0.042
Puntos IGN,2.4,1.99825,-0.402
Puntos IGN,1.9,2.09827,0.198
Puntos IGN,2.8,2.7356,-0.064
Puntos IGN,3,2.51733,-0.483
Puntos IGN,3,3.16491,0.165
Puntos IGN,2.4,1.90197,-0.498
Puntos IGN,2.6,1.70041,-0.9
Puntos IGN,2.8,2.72541,-0.075
Puntos IGN,1.9,2.92351,1.024
Puntos IGN,2.6,2.69838,0.098
Puntos IGN,1.9,2.17243,0.272
Puntos IGN,2.8,2.07332,-0.727
Puntos IGN,3.3,2.04935,-1.251
Puntos IGN,1.77,2.54005,0.77
Puntos IGN,2.3,2.80907,0.509
Puntos IGN,2.7,1.84153,-0.858
Puntos IGN,2.7,2.0055,-0.695
Puntos IGN,2.7,1.84032,-0.86
Puntos IGN,2.6,2.51024,-0.09
Puntos IGN,2.2,1.75191,-0.448
Puntos IGN,2.8,1.39728,-1.403
Puntos IGN,2.7,1.93923,-0.761
Puntos IGN,2.7,2.95089,0.251
Puntos IGN,2,1.62087,-0.379
Puntos IGN,2.2,2.04046,-0.16
Puntos IGN,2.4,1.82391,-0.576
Puntos IGN,1.9,1.9483,0.048
Puntos IGN,1.6,1.36902,-0.231
Puntos IGN,1.4,1.52912,0.129
Puntos IGN,1.6,1.64902,0.049
Puntos IGN,1.6,1.4556,-0.144
Puntos IGN,1.5,2.11946,0.619
Puntos IGN,1.7,1.38836,-0.312
Puntos IGN,1.6,1.55556,-0.044
Puntos IGN,1.6,1.70249,0.102
Puntos IGN,2.2,1.23198,-0.968
Puntos IGN,1.3,0.8901,-0.41
Puntos IGN,1.8,1.29064,-0.509
Puntos IGN,2.6,1.88153,-0.718
Puntos IGN,1.2,0.9821,-0.218
Puntos IGN,1.4,1.30375,-0.096
Puntos IGN,1.6,1.99423,0.394
Puntos IGN,1.6,0.68419,-0.916
Puntos IGN,1.9,0.81433,-1.086
Puntos IGN,2,0.97561,-1.024
Puntos IGN,1.8,1.68846,-0.112
Puntos IGN,1.4,1.02183,-0.378
Puntos IGN,1.5,1.91528,0.415
Puntos IGN,1.5,1.27016,-0.23
Puntos IGN,1.2,1.27121,0.071
Puntos IGN,1.2,1.25915,0.059
Puntos IGN,2.9,1.43849,-1.462
Puntos IGN,2.1,1.02949,-1.071
Puntos IGN,1.7,1.61636,-0.084
Puntos IGN,1.4,2.07894,0.679
Puntos IGN,1.6,1.26929,-0.331
Puntos IGN,2.3,1.10846,-1.192
Puntos IGN,1.1,1.60209,0.502
Puntos IGN,1.8,1.40122,-0.399
Puntos IGN,1.3,1.72845,0.428
Puntos IGN,1.6,1.57099,-0.029
Puntos IGN,2.4,1.41492,-0.985
Puntos IGN,1.9,1.3648,-0.535
Puntos IGN,2,1.34917,-0.651
Puntos IGN,2.3,1.32466,-0.975
Puntos IGN,1.6,1.61123,0.011
Puntos IGN,1.6,1.2107,-0.389
RTK INA,1.355,1.22597,-0.129
RTK INA,2.27,2.07504,-0.195
RTK INA,5.063,4.57287,-0.59
RTK INA,1.905,2.24279,0.338
RTK INA,2.177,1.71715,-0.46
RTK INA,2.124,1.78088,-0.343
RTK INA,1.9,1.53852,-0.361
RTK INA,1.658,1.59044,-0.068
RTK INA,2.056,1.31516,-0.741
RTK INA,1.98,1.58064,-0.399
RTK INA,2.398,0.78582,-1.612
RTK INA,2.298,1.63402,-0.664
Puntos IGN,10,9.22921,-0.771
Puntos IGN,10,5.08806,-4.912
RTK INA,2.008,1.22934,-0.779
RTK INA,1.968,2.73725,0.769
Puntos IGN,10,7.12,-2.88
Puntos IGN,6.4,4.57713,-1.823
Puntos IGN,10,6.9421,-3.058
Puntos IGN,10,7.90113,-2.099
Puntos IGN,6.6,4.98652,-1.613
Puntos IGN,6.6,5.05771,-1.542
Puntos IGN,5.5,4.74209,-0.758
Puntos IGN,5.9,4.84434,-1.056
Puntos IGN,6.3,5.38218,-0.918
Puntos IGN,6.4,5.10143,-1.299
Puntos IGN,4.9,4.61138,-0.289
Puntos IGN,4.2,4.57438,0.374
Puntos IGN,6,5.23447,-0.766
Puntos IGN,5.3,4.87635,-0.424
Puntos IGN,6.8,5.12422,-1.676
Puntos IGN,6.3,5.73083,-0.569
Puntos IGN,6,5.3886,-0.611
Puntos IGN,5.8,5.02503,-0.775
Puntos IGN,5.8,5.19603,-0.604
Puntos IGN,5.9,5.50506,-0.395
Puntos IGN,5.4,4.8096,-0.59
Puntos IGN,5.7,5.15215,-0.548
Puntos IGN,6.1,4.95671,-1.143
Puntos IGN,5.5,4.98255,-0.517
Puntos IGN,4.8,4.71215,-0.088
Puntos IGN,5,4.80063,-0.199
Puntos IGN,5.6,5.278,-0.322
Puntos IGN,5.1,4.69652,-0.403
Puntos IGN,6.5,5.5595,-0.941
Puntos IGN,7.4,5.57942,-1.821
Puntos IGN,5.4,4.87291,-0.527
Puntos IGN,5,4.83272,-0.167
Puntos IGN,6.9,5.56672,-1.333
Puntos IGN,7,5.53581,-1.464
Puntos IGN,6.6,5.74656,-0.853
Puntos IGN,7.4,5.85443,-1.546
Puntos IGN,7.5,5.90862,-1.591
Puntos IGN,7,5.45755,-1.542
Puntos IGN,6.8,5.54375,-1.256
Puntos IGN,6.5,5.92211,-0.578
Puntos IGN,6.2,5.09147,-1.109
Puntos IGN,6.5,5.37373,-1.126
Puntos IGN,5,5.35567,0.356
Puntos IGN,6.4,5.18275,-1.217
Puntos IGN,6.7,4.91458,-1.785
Puntos IGN,6.4,5.7051,-0.695
Puntos IGN,6.4,5.36262,-1.037
Puntos IGN,6.6,5.46093,-1.139
Puntos IGN,5,5.17793,0.178
Puntos IGN,6.6,5.68396,-0.916
Puntos IGN,6,5.23115,-0.769
Puntos IGN,5.7,4.99405,-0.706
Puntos IGN,7.7,5.89013,-1.81
Puntos IGN,8.5,5.90762,-2.592
Puntos IGN,7,5.85309,-1.147
Puntos IGN,7.4,6.29086,-1.109
Puntos IGN,7.1,6.26837,-0.832
Puntos IGN,7.1,6.16111,-0.939
Puntos IGN,8.2,6.02912,-2.171
Puntos IGN,9.3,6.10127,-3.199
Puntos IGN,7.4,6.5432,-0.857
Puntos IGN,7.7,6.7221,-0.978
Puntos IGN,7.6,6.07928,-1.521
Puntos IGN,8,6.33077,-1.669
Puntos IGN,8.3,6.82573,-1.474
Puntos IGN,5.8,6.25688,0.457
Puntos IGN,8.5,6.47483,-2.025
Puntos IGN,7.6,6.69766,-0.902
Puntos IGN,7.7,6.54106,-1.159
Puntos IGN,7.8,5.98139,-1.819
Puntos IGN,9.6,5.02166,-4.578
Puntos IGN,7.4,6.03616,-1.364
Puntos IGN,7.6,6.62383,-0.976
Puntos IGN,7.7,6.35376,-1.346
Puntos IGN,8.1,5.86373,-2.236
Puntos IGN,7.6,6.82017,-0.78
Puntos IGN,9.2,6.48043,-2.72
Puntos IGN,9,7.69637,-1.304
Puntos IGN,6.8,7.1371,0.337
Puntos IGN,8.4,6.36164,-2.038
Puntos IGN,7.6,6.65968,-0.94
Puntos IGN,7.9,6.48256,-1.417
Puntos IGN,9.3,7.24358,-2.056
Puntos IGN,8.9,7.3887,-1.511
Puntos IGN,7.4,6.76082,-0.639
Puntos IGN,7.2,7.16485,-0.035
Puntos IGN,7.4,5.83646,-1.564
Puntos IGN,7.7,6.20238,-1.498
Puntos IGN,7.7,4.94835,-2.752
Puntos IGN,7.9,4.59628,-3.304
Puntos IGN,6.8,4.99997,-1.8
Puntos IGN,7.8,4.99224,-2.808
Puntos IGN,6.9,4.83895,-2.061
Puntos IGN,7.4,4.71155,-2.688
Puntos IGN,6.2,4.5984,-1.602
Puntos IGN,6.9,4.46509,-2.435
Puntos IGN,4.3,4.08902,-0.211
Puntos IGN,5.6,4.42844,-1.172
Puntos IGN,6.9,4.19038,-2.71
Puntos IGN,6.8,4.27756,-2.522
Puntos IGN,4,4.1053,0.105
Puntos IGN,4.6,4.2257,-0.374
Puntos IGN,5.4,4.90726,-0.493
Puntos IGN,4.5,4.95468,0.455
Puntos IGN,4.7,4.72965,0.03
Puntos IGN,3.7,5.19164,1.492
Puntos IGN,3.6,3.88064,0.281
Puntos IGN,4.5,4.03784,-0.462
Puntos IGN,5.9,5.04245,-0.858
Puntos IGN,5.3,5.04563,-0.254
Puntos IGN,5.6,4.92591,-0.674
Puntos IGN,5.7,5.17134,-0.529
Puntos IGN,5.8,4.82953,-0.97
Puntos IGN,6,4.85761,-1.142
Puntos IGN,5.5,4.94653,-0.553
Puntos IGN,6.2,4.98338,-1.217
Puntos IGN,5.3,4.78729,-0.513
Puntos IGN,5.5,4.25827,-1.242
Puntos IGN,5.8,4.96335,-0.837
Puntos IGN,5.4,4.6535,-0.747
Puntos IGN,5.5,4.24638,-1.254
Puntos IGN,5.4,4.64855,-0.751
Puntos IGN,5.6,4.12622,-1.474
Puntos IGN,5.2,4.85536,-0.345
Puntos IGN,4.6,4.64849,0.048
Puntos IGN,4.4,4.43662,0.037
Puntos IGN,4.8,4.72595,-0.074
Puntos IGN,4.5,3.85452,-0.645
Puntos IGN,5,4.84509,-0.155
Puntos IGN,4.7,4.9139,0.214
Puntos IGN,4.5,4.38116,-0.119
Puntos IGN,5.3,4.73473,-0.565
Puntos IGN,4.8,4.52638,-0.274
Puntos IGN,4.5,4.67071,0.171
Puntos IGN,4.9,4.89675,-0.003
Puntos IGN,4.6,4.62777,0.028
Puntos IGN,4.9,3.63203,-1.268
Puntos IGN,5,3.91377,-1.086
Puntos IGN,5.35,4.5065,-0.843
Puntos IGN,4.7,4.48105,-0.219
Puntos IGN,4.2,3.9004,-0.3
Puntos IGN,4.4,3.57352,-0.826
Puntos IGN,4.5,4.16916,-0.331
Puntos IGN,4.7,3.46861,-1.231
Puntos IGN,5.4,3.91306,-1.487
Puntos IGN,4,3.60682,-0.393
Puntos IGN,4.1,3.61717,-0.483
Puntos IGN,4.1,3.54949,-0.551
Puntos IGN,4.4,3.73878,-0.661
Puntos IGN,3.6,4.2291,0.629
Puntos IGN,4.3,4.29484,-0.005
Puntos IGN,4.6,3.8288,-0.771
Puntos IGN,4.1,4.93213,0.832
Puntos IGN,4.9,4.50907,-0.391
Puntos IGN,4.7,3.55801,-1.142
Puntos IGN,5.4,4.45769,-0.942
Puntos IGN,6.9,4.62824,-2.272
Puntos IGN,7.7,5.51099,-2.189
Puntos IGN,4.7,4.51853,-0.181
Puntos IGN,4.5,4.80511,0.305
Puntos IGN,4.4,4.29929,-0.101
Puntos IGN,7.2,5.16542,-2.035
Puntos IGN,4.4,4.79298,0.393
Puntos IGN,5.3,5.03817,-0.262
Puntos IGN,5.5,5.08162,-0.418
Puntos IGN,6.5,5.15454,-1.345
Puntos IGN,4.3,4.54408,0.244
Puntos IGN,5.2,5.12754,-0.072
Puntos IGN,3.4,2.82307,-0.577
Puntos IGN,3.5,2.82617,-0.674
Puntos IGN,5.6,5.08424,-0.516
Puntos IGN,5.1,6.86614,1.766
Puntos IGN,3.5,3.19412,-0.306
Puntos IGN,4.4,3.47,-0.93
Puntos IGN,3.4,2.8049,-0.595
Puntos IGN,3.9,3.13254,-0.767
Puntos IGN,3.8,3.05136,-0.749
Puntos IGN,5.1,3.3515,-1.748
Puntos IGN,4,3.18981,-0.81
Puntos IGN,3.7,3.21152,-0.488
Puntos IGN,3.5,3.49267,-0.007
Puntos IGN,2.9,3.52927,0.629
Puntos IGN,3.7,3.01494,-0.685
Puntos IGN,3.6,3.32078,-0.279
Puntos IGN,3.5,2.85479,-0.645
Puntos IGN,3.3,2.88446,-0.416
Puntos IGN,3.1,3.59604,0.496
Puntos IGN,3.4,2.7526,-0.647
Puntos IGN,4.4,2.67248,-1.728
Puntos IGN,4,2.90864,-1.091
Puntos IGN,3.7,2.80099,-0.899
Puntos IGN,3.9,2.82379,-1.076
Puntos IGN,3.2,2.74157,-0.458
Puntos IGN,2.7,2.80589,0.106
Puntos IGN,3.3,2.77286,-0.527
Puntos IGN,3.2,2.78518,-0.415
Puntos IGN,2.8,2.78703,-0.013
Puntos IGN,2.9,3.25546,0.355
Puntos IGN,4.2,3.24567,-0.954
Puntos IGN,2.9,3.23846,0.338
Puntos IGN,3.9,2.94059,-0.959
Puntos IGN,3.9,2.96346,-0.937
Puntos IGN,3.8,3.10997,-0.69
Puntos IGN,3.7,3.15621,-0.544
Puntos IGN,3.3,3.31505,0.015
Puntos IGN,3.1,3.32138,0.221
Puntos IGN,3,2.90289,-0.097
Puntos IGN,3,3.17444,0.174
Puntos IGN,3,3.45753,0.458
Puntos IGN,3,3.33064,0.331
Puntos IGN,3.2,3.29225,0.092
Puntos IGN,3.1,3.17525,0.075
Puntos IGN,3.2,3.2694,0.069
Puntos IGN,2.9,3.37367,0.474
Puntos IGN,3.2,3.31701,0.117
Puntos IGN,2.9,3.23029,0.33
Puntos IGN,3.2,3.45575,0.256
Puntos IGN,3,2.87619,-0.124
Puntos IGN,3.1,3.36104,0.261
Puntos IGN,2.9,3.54301,0.643
Puntos IGN,3,2.96327,-0.037
Puntos IGN,3.2,3.14174,-0.058
Puntos IGN,3,2.72573,-0.274
Puntos IGN,3,2.77151,-0.228
Puntos IGN,3.3,2.84639,-0.454
Puntos IGN,3.2,2.92418,-0.276
Puntos IGN,3.1,2.83255,-0.267
Puntos IGN,3,2.76807,-0.232
Puntos IGN,3.6,3.66721,0.067
Puntos IGN,4.3,3.4882,-0.812
Puntos IGN,2.7,2.98647,0.286
Puntos IGN,3.6,3.11518,-0.485
Puntos IGN,3.2,3.39305,0.193
Puntos IGN,3.4,3.59683,0.197
Puntos IGN,3.4,2.98498,-0.415
Puntos IGN,3.3,3.76909,0.469
Puntos IGN,3.3,3.68551,0.386
Puntos IGN,4.3,3.50131,-0.799
Puntos IGN,4.4,3.28413,-1.116
Puntos IGN,6.1,3.68222,-2.418
Puntos IGN,2.7,2.37317,-0.327
Puntos IGN,1.57,2.3321,0.762
Puntos IGN,8.6,4.84523,-3.755
Puntos IGN,3.1,2.80385,-0.296
Puntos IGN,1.45,1.79078,0.341
Puntos IGN,1.72,1.74974,0.03
Puntos IGN,1.72,2.12729,0.407
Puntos IGN,1.63,2.09032,0.46
Puntos IGN,1.25,1.91005,0.66
Puntos IGN,1.16,1.84585,0.686
Puntos IGN,1.7,1.93414,0.234
Puntos IGN,1.27,2.01814,0.748
Puntos IGN,1.15,2.20323,1.053
Puntos IGN,1.12,2.73795,1.618
Puntos IGN,1.02,1.94141,0.921
Puntos IGN,1.51,2.04327,0.533
Puntos IGN,1.81,1.96489,0.155
Puntos IGN,2.07,1.78709,-0.283
Puntos IGN,1.58,2.32895,0.749
Puntos IGN,1.34,1.96741,0.627
Puntos IGN,1.81,1.96706,0.157
Puntos IGN,2.09,1.89777,-0.192
Puntos IGN,1.64,1.6164,-0.024
Puntos IGN,1.99,2.06742,0.077
Puntos IGN,2.31,1.93705,-0.373
Puntos IGN,2.21,1.91985,-0.29
Puntos IGN,1.55,1.87336,0.323
Puntos IGN,1.8,1.85093,0.051
Puntos IGN,2.58,2.13395,-0.446
Puntos IGN,1.71,2.06801,0.358
Puntos IGN,1.93,1.96476,0.035
Puntos IGN,1.61,1.5609,-0.049
Puntos IGN,1.46,1.7493,0.289
Puntos IGN,2.94,1.64448,-1.296
Puntos IGN,1.47,2.09532,0.625
Puntos IGN,1.5,1.87048,0.37
Puntos IGN,1.51,1.72092,0.211
Puntos IGN,2,1.65977,-0.34
Puntos IGN,3.02,1.67226,-1.348
Puntos IGN,1.92,1.83789,-0.082
Puntos IGN,1.84,1.46045,-0.38
Puntos IGN,1.73,1.67554,-0.054
Puntos IGN,2.11,1.69765,-0.412
Puntos IGN,1.68,1.29064,-0.389
Puntos IGN,1.6,2.55782,0.958
Puntos IGN,1.2,2.72118,1.521
Puntos IGN,2.07,1.54403,-0.526
Puntos IGN,1.616,2.34013,0.724
Puntos IGN,1.78,2.37187,0.592
Puntos IGN,1.75,2.22723,0.477
Puntos IGN,1.63,2.89584,1.266
Puntos IGN,1.71,2.17503,0.465
Puntos IGN,3.2,2.0321,-1.168
Puntos IGN,2.4,2.58861,0.189
Puntos IGN,2.25,2.14818,-0.102
Puntos IGN,2.1,1.54368,-0.556
Puntos IGN,2.2,2.35064,0.151
Puntos IGN,1.9,2.22805,0.328
Puntos IGN,1.9,2.15954,0.26
Puntos IGN,2.3,2.28901,-0.011
Puntos IGN,3.2,2.14832,-1.052
Puntos IGN,2.3,2.13108,-0.169
Puntos IGN,2.9,2.22421,-0.676
Puntos IGN,1.9,2.15186,0.252
Puntos IGN,2,2.14203,0.142
Puntos IGN,2,1.97347,-0.027
Puntos IGN,2.1,2.15778,0.058
Puntos IGN,2.4,2.14203,-0.258
Puntos IGN,2.4,2.11002,-0.29
Puntos IGN,2.2,2.05631,-0.144
Puntos IGN,2.4,2.02526,-0.375
Puntos IGN,2,2.07256,0.073
Puntos IGN,2.3,2.16156,-0.138
Puntos IGN,2.7,2.3181,-0.382
Puntos IGN,1.5,1.92232,0.422
Puntos IGN,1.7,2.1792,0.479
Puntos IGN,2.7,2.28068,-0.419
Puntos IGN,2.3,2.33743,0.037
Puntos IGN,3.6,3.17777,-0.422
Puntos IGN,3.4,3.33101,-0.069
Puntos IGN,2.4,2.13221,-0.268
Puntos IGN,2.1,1.94422,-0.156
Puntos IGN,2.6,2.09104,-0.509
Puntos IGN,2.3,1.83331,-0.467
Puntos IGN,2.1,1.96001,-0.14
Puntos IGN,2.1,1.86131,-0.239
Puntos IGN,2.9,2.13751,-0.762
Puntos IGN,2.3,1.93688,-0.363
Puntos IGN,2.4,1.87463,-0.525
Puntos IGN,2.4,1.94938,-0.451
Puntos IGN,2.1,1.95577,-0.144
Puntos IGN,2.2,2.15382,-0.046
Puntos IGN,3.2,2.94571,-0.254
Puntos IGN,2.6,2.013,-0.587
Puntos IGN,2.1,1.94007,-0.16
Puntos IGN,2,2.22405,0.224
Puntos IGN,1.7,1.93822,0.238
Puntos IGN,1.3,1.95563,0.656
Puntos IGN,2.2,1.96742,-0.233
Puntos IGN,2.3,1.80821,-0.492
Puntos IGN,2.6,2.52755,-0.072
Puntos IGN,2.8,2.31571,-0.484
